Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
GACC_Area Command Teams,50781,50781,0.008724,0.0,0.09673,0.009357,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.717864,149.072082,425,0.8369,0,True,True,,,
pr_5D_mean,50881,50881,0.461649,0.0,1.838949,3.381733,0.0,0.0,0.0,0.0,2.54,54.14,0.0,8.932783,120.854139,11707,23.0086,0,True,True,,,
CA_LT20,50879,50879,0.991961,1.0,0.089298,0.007974,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-11.018793,119.41849,409,0.8039,0,True,True,,,
CA,50856,50856,0.063461,0.06,0.043865,0.001924,0.0,0.02,0.04,0.08,0.12,0.99,0.04,6.885276,101.496811,357,0.702,0,True,True,,,
NCA,50856,50856,0.926618,0.93,0.043974,0.001934,0.0,0.87,0.91,0.95,0.97,1.0,0.04,-6.826467,100.532092,386,0.759,0,True,True,,,
GACC_New LF,50781,50781,1.63382,0.0,4.644422,21.570655,0.0,0.0,0.0,1.0,8.0,79.0,1.0,8.029531,94.85537,3530,6.9514,0,True,True,,,
HWLI,50879,50879,0.010279,0.0,0.100865,0.010174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.710764,92.302557,523,1.0279,0,True,True,,,
DS_ET,50879,50879,0.010869,0.0,0.103687,0.010751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.435129,87.025083,553,1.0869,0,True,True,,,
pr_5D_max,50881,50881,1.640626,0.0,5.879351,34.566773,0.0,0.0,0.0,0.0,9.6,132.4,0.0,7.236939,76.705537,11707,23.0086,0,True,True,,,
M_WTR,50879,50879,0.015134,0.0,0.122087,0.014905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.943281,61.098112,770,1.5134,0,True,True,,,
WDLI,50879,50879,0.015134,0.0,0.122087,0.014905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.943281,61.098112,770,1.5134,0,True,True,,,
EPLRLI,50879,50879,0.015193,0.0,0.122321,0.014962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.927125,60.841705,773,1.5193,0,True,True,,,
TPLI,50879,50879,0.024195,0.0,0.153655,0.02361,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.193423,36.359923,1231,2.4195,0,True,True,,,
M_TRN,50879,50879,0.026219,0.0,0.159788,0.025532,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.930361,33.170483,1334,2.6219,0,True,True,,,
GACC_NIMO Teams,50781,50781,0.035368,0.0,0.189757,0.036008,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.527382,32.892658,1753,3.4521,0,True,True,,,
LLELI,50879,50879,0.027831,0.0,0.164489,0.027057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.74126,30.963285,1416,2.7831,0,True,True,,,
TSDF_ET,50879,50879,0.028086,0.0,0.165221,0.027298,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.712744,30.636645,1429,2.8086,0,True,True,,,
SFLI,50879,50879,0.029069,0.0,0.168002,0.028225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.606491,29.433896,1479,2.9069,0,True,True,,,
GACC_Uncont LF,50781,50781,2.639038,2.0,3.794929,14.401488,0.0,0.0,1.0,3.0,8.0,37.0,2.0,4.58817,28.829029,1631,3.2118,0,True,True,,,
DLI,50879,50879,0.031899,0.0,0.175733,0.030882,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.327604,26.384398,1623,3.1899,0,True,True,,,
LLE_ET,50879,50879,0.032273,0.0,0.176725,0.031232,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.293486,26.022017,1642,3.2273,0,True,True,,,
TPI,50881,50881,-0.032836,0.0,1.402197,1.966155,-15.25,-2.0,-0.375,0.375,2.0,40.5,0.75,0.662382,25.90421,3243,6.3737,0,False,True,,,
ALI,50879,50879,0.032587,0.0,0.177555,0.031526,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.265196,25.723303,1658,3.2587,0,True,True,,,
A_ET,50879,50879,0.033157,0.0,0.179048,0.032058,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.214916,25.196343,1687,3.3157,0,True,True,,,
DB_ET,50879,50879,0.033668,0.0,0.180375,0.032535,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.170891,24.739083,1713,3.3668,0,True,True,,,
TPF,50879,50879,4881.488866,4528.0,2885.508048,8326156.696832,0.0,1341.0,2966.0,6180.0,9515.0,38932.0,3214.0,2.871247,22.87138,384,0.7547,0,True,True,,,
GACC_New fire,50781,50781,63.387999,22.0,133.877077,17923.071765,0.0,3.0,13.0,41.0,336.0,1144.0,28.0,4.108804,18.606225,5494,10.819,0,True,True,,,
GACC_Type 2 IMTs,50781,50781,0.521258,0.0,0.97188,0.944551,0.0,0.0,0.0,1.0,3.0,13.0,1.0,3.033882,17.704224,356,0.701,0,True,True,,,
No_FireStation_1.0km,8121,8121,1.063293,1.0,0.253902,0.064466,1.0,1.0,1.0,1.0,2.0,4.0,0.0,4.098122,17.562373,494,6.083,0,True,True,,,
RMPLI,50879,50879,0.044871,0.0,0.207023,0.042859,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.397061,17.334828,2283,4.4871,0,True,True,,,
TP_ET,50879,50879,0.048527,0.0,0.214879,0.046173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.202282,15.659787,2469,4.8527,0,True,True,,,
pr_Normal,50881,50881,0.738141,0.24,1.322471,1.748931,0.0,0.0,0.06,0.75,3.38,13.34,0.69,3.478793,15.117711,3316,6.5172,0,True,True,,,
WD_ET,50879,50879,0.051829,0.0,0.221684,0.049144,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.043501,14.350464,2637,5.1829,0,True,True,,,
