Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
EPL_NOHSDP,50837,50837,0.200323,0.5738,19.322879,373.373635,-999.0,0.0996,0.3459,0.8357,0.9852,0.9999,0.4898,-51.682246,2669.738245,19,0.0374,0,True,True,,,
RPL_THEME3,50837,50837,0.154347,0.6337,21.25889,451.940422,-999.0,0.1677,0.3972,0.8331,0.9673,0.9999,0.4359,-46.973113,2204.880904,23,0.0452,0,True,True,,,
EPL_PCI,47165,47165,0.028476,0.5125,22.068717,487.028269,-999.0,0.0681,0.2918,0.7614,0.9543,0.9999,0.4696,-45.24158,2045.215007,23,0.0488,0,True,True,,,
EPL_POV,50837,50837,0.071689,0.5829,22.162357,491.170071,-999.0,0.1185,0.369,0.7704,0.9396,0.9998,0.4014,-45.053409,2028.153179,25,0.0492,0,True,True,,,
EPL_DISABL,50837,50837,0.024722,0.6027,23.454198,550.099407,-999.0,0.0875,0.3446,0.8322,0.9574,0.9999,0.4876,-42.566747,1810.261604,28,0.0551,0,True,True,,,
EPL_UNEMP,50837,50837,0.073302,0.7263,24.2787,589.455264,-999.0,0.1372,0.4859,0.8842,0.9697,1.0,0.3983,-41.122786,1689.34464,30,0.059,0,True,True,,,
EPL_MOBILE,50837,50837,0.06351,0.7668,24.680388,609.121549,-999.0,0.0,0.6034,0.8712,0.9776,0.9999,0.2678,-40.451116,1634.593082,31,0.061,0,True,True,,,
RPL_THEME2,50837,50837,-0.100665,0.5697,25.459867,648.204822,-999.0,0.09938,0.355,0.7608,0.923,0.9998,0.4058,-39.206328,1535.353549,33,0.0649,0,True,True,,,
EPL_NOVEH,50837,50837,-0.276999,0.369,25.838227,667.613972,-999.0,0.0334,0.1931,0.5795,0.806,0.9996,0.3864,-38.625258,1490.097357,34,0.0669,0,True,True,,,
RPL_THEME1,50837,50837,-0.152575,0.6151,27.3204,746.404257,-999.0,0.1318,0.4043,0.8207,0.97,0.9999,0.4164,-36.531313,1332.708927,38,0.0747,0,True,True,,,
RPL_THEME4,50837,50837,-0.167146,0.6245,27.677325,766.03434,-999.0,0.1488,0.415,0.815,0.9511,1.0,0.4,-36.0592,1298.425269,39,0.0767,0,True,True,,,
RPL_THEMES,50837,50837,-0.189624,0.6372,28.378027,805.312423,-999.0,0.162,0.4245,0.8476,0.9713,1.0,0.4231,-35.16671,1234.847275,41,0.0806,0,True,True,,,
GHM,50881,50881,-3.544538112820509e+35,0.45,1.0976844048721093e+37,1.2049110526994369e+74,-3.402823466385289e+38,0.03,0.25,0.71,0.92,0.99,0.46,-30.93665,955.113884,53,0.1042,0,True,True,,,
GDP,50878,50878,55600.151516,55768.438,1385.912165,1920752.529903,15790.716,54876.344,55768.438,55768.438,55768.438,55768.438,0.0,-26.119334,735.751297,6588,12.9486,0,True,True,,,
Population,50881,50881,-292.613221,0.1263,5439.815496,29591592.635248,-99999.0,0.0,0.0,2.1708,24.021,396.4778,2.1708,-18.275088,331.993264,7324,14.3944,0,True,True,,,
LPMHVLI,50879,50879,0.003322,0.0,0.057538,0.003311,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.264996,296.091719,169,0.3322,0,True,True,,,
LPP_ET,50879,50879,0.004579,0.0,0.067517,0.004559,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.675902,213.390495,233,0.4579,0,True,True,,,
pr,50881,50881,0.514471,0.0,3.133712,9.82015,0.0,0.0,0.0,0.0,2.3,132.400009,0.0,14.171239,312.642758,4814,9.4613,0,True,True,,,
DPMLI,50879,50879,0.005719,0.0,0.075411,0.005687,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.109455,169.864487,291,0.5719,0,True,True,,,
GACC_Area Command Teams,50781,50781,0.008724,0.0,0.09673,0.009357,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.717864,149.072082,425,0.8369,0,True,True,,,
CA_LT20,50879,50879,0.991961,1.0,0.089298,0.007974,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-11.018793,119.41849,409,0.8039,0,True,True,,,
